No,Team 1,Team 2,Score,Penalty
1,Nasaf,Al Ain,1-2,-
2,Al-Fayha,Al Nassr,0-3,-
3,Sepahan,Al-Hilal,2-6,-
4,Navbahor,Al-Ittihad,1-2,-
5,Jeonbuk Hyundai Motors,Pohang Steelers,3-1,-
6,Ulsan Hyundai,Ventforet Kofu,5-1,-
7,Shandong Taishan,Kawasaki Frontale,6-5,-
8,Bangkok United,Yokohama F. Marinos,2-3,-
9,Al Ain,Al Nassr,4-4,3-1
10,Al-Hilal,Al-Ittihad,4-0,-
11,Jeonbuk Hyundai Motors,Ulsan Hyundai,1-2,-
12,Shandong Taishan,Yokohama F. Marinos,1-3,-
13,Al Ain,Al-Hilal,5-4,-
14,Ulsan Hyundai,Yokohama F. Marinos,3-3,4-5
15,Yokohama F. Marinos,Al Ain,3-6,-