Date,Team 1,Team 2,Score
02 Apr 2024,Cobresal,Barcelona,1-1
02 Apr 2024,The Strongest,Grêmio,2-0
02 Apr 2024,Universitario,LDU Quito,2-1
02 Apr 2024,Millonarios,Flamengo,1-1
02 Apr 2024,Deportivo Táchira,River Plate,0-2
3 Apr 2024,Colo-Colo,Cerro Porteño,1-0
3 Apr 2024,Alianza Lima,Fluminse,1-1
03 Apr 2024,Huachipato,Estudiantes,1-1
03 Apr 2024,Botafogo,Junior,1-3
03 Apr 2024,San Lorenzo,Palmeiras,1-1
03 Apr 2024,Nacional,Libertad,2-0
04 Apr 2024,Talleres,São Paulo,2-1
04 Apr 2024,Palestino,Bolívar,0-4
04 Apr 2024,Liverpool,Independiente del Valle,1-1
04 Apr 2024,Caracas,Atlético Mineiro,1-4
04 Apr 2024,Rosario Central,Peñarol,1-0
9 Apr 2024,Fluminense,Colo-Colo,2-1
09 Apr 2024,Estudiantes,The Strongest,2-1
09 Apr 2024,Junior,Universitario,1-1
09 Apr 2024,Libertad,Deportivo Táchira,3-0
10 Apr 2024,Cerro Porteño,Alianza Lima,1-0
10 Apr 2024,São Paulo,Cobresal,2-0
10 Apr 2024,Barcelona,Talleres,2-2
10 Apr 2024,Flamengo,Palestino,2-0
10 Apr 2024,Independiente del Valle,San Lorenzo,2-0
10 Apr 2024,Atlético Mineiro,Rosario Central,2-1
10 Apr 2024,Peñarol,Caracas,5-0
11 Apr 2024,LDU Quito,Botafogo,1-0
11 Apr 2024,Bolívar,Millonarios,3-2
11 Apr 2024,River Plate,Nacional,2-0
21 Apr 2024,Grêmio,Huachipato,0-2
21 Apr 2024,Palmeiras,Liverpool,3-1
23 Apr 2024,Colo-Colo,Alianza Lima,0-0
23 Apr 2024,Estudiantes,Grêmio,0-1
23 Apr 2024,Junior,LDU Quito,1-1
23 Apr 2024,Liverpool,San Lorenzo,1-0
23 Apr 2024,Caracas,Rosario Central,1-1
23 Apr 2024,Atlético Mineiro,Peñarol,3-2
24 Apr 2024,Huachipato,The Strongest,0-0
24 Apr 2024,Botafogo,Universitario,3-1
24 Apr 2024,Bolívar,Flamengo,2-1
24 Apr 2024,Independiente del Valle,Palmeiras,2-3
24 Apr 2024,Nacional,Deportivo Táchira,2-1
24 Apr 2024,Libertad,River Plate,1-2
25 Apr 2024,Cerro Porteño,Fluminse,0-0
25 Apr 2024,Cobresal,Talleres,0-2
25 Apr 2024,Barcelona,São Paulo,0-2
25 Apr 2024,Palestino,Millonarios,3-1
07 May 2024,Universitario,Junior,1-1
07 May 2024,Palestino,Flamengo,1-0
07 May 2024,Rosario Central,Atlético Mineiro,0-1
07 May 2024,Caracas,Peñarol,0-1
07 May 2024,Deportivo Táchira,Libertad,1-1
07 May 2024,Nacional,River Plate,2-2
08 May 2024,Alianza Lima,Cerro Porteño,1-1
08 May 2024,Talleres,Barcelona,3-1
08 May 2024,Cobresal,São Paulo,1-3
08 May 2024,Botafogo,LDU Quito,2-1
08 May 2024,Millonarios,Bolívar,1-1
09 May 2024,Colo-Colo,Fluminense,0-1
09 May 2024,The Strongest,Estudiantes,1-0
09 May 2024,San Lorenzo,Independiente del Valle,2-0
09 May 2024,Liverpool,Palmeiras,0-5
14 May 2024,Talleres,Cobresal,1-0
14 May 2024,LDU Quito,Junior,0-1
14 May 2024,Millonarios,Palestino,1-1
14 May 2024,Peñarol,Atlético Mineiro,2-0
14 May 2024,River Plate,Libertad,2-0
15 May 2024,Alianza Lima,Colo-Colo,1-1
15 May 2024,The Strongest,Huachipato,4-0
15 May 2024,Flamengo,Bolívar,4-0
15 May 2024,Palmeiras,Independiente del Valle,2-1
15 May 2024,Deportivo Táchira,Nacional,0-1
16 May 2024,Fluminense,Cerro Porteño,2-1
16 May 2024,São Paulo,Barcelona,0-0
16 May 2024,Universitario,Botafogo,0-1
16 May 2024,San Lorenzo,Liverpool,3-2
16 May 2024,Rosario Central,Caracas,4-1
28 May 2024,LDU Quito,Universitario,2-0
28 May 2024,Junior,Botafogo,0-0
28 May 2024,Flamengo,Millonarios,3-0
28 May 2024,Bolívar,Palestino,3-1
28 May 2024,Peñarol,Rosario Central,2-1
28 May 2024,Atlético Mineiro,Caracas,4-0
29 May 2024,Fluminense,Alianza Lima,3-2
29 May 2024,Cerro Porteño,Colo-Colo,1-1
29 May 2024,São Paulo,Talleres,2-0
29 May 2024,Barcelona,Cobresal,2-1
29 May 2024,Grêmio,The Strongest,4-0
29 May 2024,Estudiantes,Huachipato,3-4
30 May 2024,Palmeiras,San Lorenzo,0-0
30 May 2024,Independiente del Valle,Liverpool,2-1
30 May 2024,River Plate,Deportivo Táchira,2-0
30 May 2024,Libertad,Nacional,2-1
04 Jun 2024,Huachipato,Grêmio,0-1
08 Jun 2024,Grêmio,Estudiantes,1-1