No,Teams,Region,ELO,Continental Strength,Real ELO,Latitude,Longitude
1,Al-Hilal,Asia,872.50,0.9805158032,855.50,24.7886,46.839
2,Al Nassr,,857.01,0.9805158032,840.31,24.7292,46.6238
3,Al Ain,,848.80,0.9805158032,832.26,24.245594,55.716583
4,Al Ahly,Africa,857.56,1.059097498,908.24,30.069114,31.312333
5,ES Tunis,,821.25,1.059097498,869.78,36.747778,10.272778
6,CR Belouizdad,,813.29,1.059097498,861.35,36.745633,3.078511
7,Pachuca,NA,850.30,1.003407457,853.20,20.105278,-98.756111
8,UANL,,819.73,1.003407457,822.52,25.723,-100.312
9,América,,819.73,1.003407457,822.52,19.303056,-99.150556
10,Columbus Crew,,819.71,1.003407457,822.50,39.968461,-83.017089
11,Auckland City,OCE,839.69,0.8092100103,679.49,-36.8978,174.7364
12,Pirae,,821.64,0.8092100103,664.88,-17.54,-149.551944
13,Real Madrid,EU,881.98,1.164599744,1027.15,40.453056,-3.688333
14,Manchester City,,862.52,1.164599744,1004.49,53.483056,-2.200278
15,Inter Milan,,834.07,1.164599744,971.36,45.478064,9.124017
16,Bayern Munchen,,833.56,1.164599744,970.76,48.218889,11.624722
17,Botafogo,SA,854.42,1.236841422,1056.78,-22.893172,-43.292269
18,Atlético Mineiro,,850.78,1.236841422,1052.28,-19.929861,-44.014444
19,River Plate,,845.25,1.236841422,1045.44,-34.545278,-58.449722
20,São Paulo,,833.35,1.236841422,1030.72,-23.6,-46.720278