No,Date,Team 1,Team 2,Score
1,11 May 2024,Rewa,Auckland City,2-2
2,11 May 2024,Solomon Warriors,Hekari United,0-2
7,12 May 2024,Pirae,Vaivase-Tai FC,6-0
3,14 May 2024,Auckland City,Hekari United,1-0
4,14 May 2024,Solomon Warriors,Rewa,2-3
9,15 May 2024,AS Magenta,Vaivase-Tai FC,8-0
10,16 May 2024,Pirae,Ifira Black Bird,5-1
5,17 May 2024,Hekari United,Rewa,2-3
6,17 May 2024,Auckland City,Solomon Warriors,5-0
11,18 May 2024,Vaivase-Tai FC,Ifira Black Bird,1-5
12,18 May 2024,AS Magenta,Pirae,0-2
8,20 May 2024,Ifira Black Bird,AS Magenta,1-2