Ranking,Real ELO Ranking (Country),FootballDatabase Ranking,IFFB Ranking
1,River Plate,Manchester City,Manchester City
2,Manchester City,Real Madrid,Real Madrid
3,Atlético Mineiro,Borussia Dortmund,Bayern Munchen
4,Real Madrid,Bayern Munchen,Al Ahly
5,Botafogo,Atlético Mineiro,Borussia Dortmund
6,Pachuca,River Plate,Botafogo
7,Bayern Munchen,Al-Hilal,Atlético Mineiro
8,Peñarol,Al Ahly,River Plate
9,Borussia Dortmund,América,Al-Hilal
10,Columbus Crew,Botafogo,Monterrey
11,América,Peñarol,América
12,Monterrey,Mamelodi Sundowns,Yokohama F. Marinos
13,Yokohama F. Marinos,Pachuca,ES Tunis
14,Al Ahly,ES Tunis,Mamelodi Sundowns
15,ES Tunis,Monterrey,Al Ain
16,Al-Hilal,Auckland City,Pachuca
17,Al Ain,Al Ain,Peñarol
18,Mamelodi Sundowns,Yokohama F. Marinos,Columbus Crew
19,Auckland City,Columbus Crew,Auckland City
20,Pirae,Pirae,Pirae